Complain,用户数,流失人数,流失率,平均满意度,平均订单数,平均返现
0,4026,440,0.1092896174863388,3.0938897168405366,3.0004967709885744,177.2067262791853
1,1604,508,0.3167082294264339,2.9987531172069826,2.864713216957606,177.26395261845386
